target,text,clean_text
0,Working today. Closing. 2 - 11. Missing out on Ming's birthday dinner/party. ,working today closing missing out on mings birthday dinnerparty
0,@JoshBkelley just wanted to say the youngstown girls miss you  .. &amp; what happened to tell it like it is on itunes? cant find it!,just wanted to say the youngstown girls miss you amp what happened to tell it like it is on itunes cant find it
1,Ahhh...I finally don't have to keep 5 guys happy...I get waited on tonite ,ahhhi finally dont have to keep guys happyi get waited on tonite
0,hope you feel better mommy  I love you :X,hope you feel better mommy i love you x
0,@KandyChazer it is...but i was told i was gonna be entertained and i wasnt ,it isbut i was told i was gonna be entertained and i wasnt
1,yay! just realized i'm not driving this trip and can do all the twittering!  ,yay just realized im not driving this trip and can do all the twittering
1,"@amf7 Thank you for reminding me! I actually have something in mind given the date. Hint, it's Star Trek related. ",thank you for reminding me i actually have something in mind given the date hint its star trek related
1,We should have brought a flask with v0dka. Hahaha. ,we should have brought a flask with vdka hahaha
0,Just got pulled over on 36. I am fucking terrified of cops. My headlights out I guess  mew.,just got pulled over on i am fucking terrified of cops my headlights out i guess mew
0,gotta go check/console/convince 2 yo to stay in bed and that he actually WANTS to go to sleep... 20 min nap in car= past his sleep... ,gotta go checkconsoleconvince yo to stay in bed and that he actually wants to go to sleep min nap in car past his sleep
1,@cali_g510 ok   I got you!,ok i got you
1,Changed the background on here. About to go watch 'Mary Shellys Frankenstein'.  Add: http://bit.ly/4Qhlv,changed the background on here about to go watch mary shellys frankenstein add
1,"@MANDY_EMMERSON I know you do, Go TEAM GB ",i know you do go team gb
1,"@sdministry Hey scott, Its Ashli from Shelby County, We met when Rick and Mick were in town. How you been? It been awhile ",hey scott its ashli from shelby county we met when rick and mick were in town how you been it been awhile
0,@temptationdice why did my family decide to have a family gathering?  i see why you hate them. -.-,why did my family decide to have a family gathering i see why you hate them
1,@kerryjor Happy Birthday!  Enjoy the cougar years - roar! ,happy birthday enjoy the cougar years roar
0,I work 9-6 today with bitch boss ,i work today with bitch boss
0,  DD has pinkeye...not fun.,dd has pinkeyenot fun
1,3 little birds pitch by my door step singing sweet songs of melodies pure &amp; true sayin dis is my message 2 you: dont worry about a thing ,little birds pitch by my door step singing sweet songs of melodies pure amp true sayin dis is my message you dont worry about a thing
1,Church of the Highlands @ 11:30 in the Bryant Conference Center! BE THERE!   ,church of the highlands in the bryant conference center be there
1,Off to london biggin hill ,off to london biggin hill
0,definitely just failed my exam ,definitely just failed my exam
1,@Burlesquetron oh sorry I didn't see this tweet further down sorry. unhappy DD = 4 champers 4 me + looking 4 hair dye in back of cupboard ,oh sorry i didnt see this tweet further down sorry unhappy dd champers me looking hair dye in back of cupboard
1,@laurie_pringle I mention it in the blog post. It's in Vancouver. ,i mention it in the blog post its in vancouver
1,I am soooo happy!!! ,i am soooo happy
1,@Itxi_Itx @th3maw  This is a great conversation.  What else might you do with your sheets during the act of love?  eh?  eh?  ,this is a great conversation what else might you do with your sheets during the act of love eh eh
0,mark cubans doin handsprings right now- the &quot;punks and thugs&quot; are sinking.. but he's not looking forward to paying dirk's child support. ,mark cubans doin handsprings right now the quotpunks and thugsquot are sinking but hes not looking forward to paying dirks child support
1,@lovelyberries haha you can cuddle with me anytime ,haha you can cuddle with me anytime
1,had a lovely birthday.  http://plurk.com/p/xedq0,had a lovely birthday
0,@judez_xo ugly kids there?  woahh where am i then. ,ugly kids there woahh where am i then
1,@canadianfamily The best thing about my Mother's Day was my son. And the card my husband got me 'from' our 5.5 week old son. ,the best thing about my mothers day was my son and the card my husband got me from our week old son
1,Just got off the  â  Misery loves company..... Haha,just got off the â misery loves company haha
0,ugh sdre isnt coming here  lame. today can suck my dick.,ugh sdre isnt coming here lame today can suck my dick
1,@andyclemmensen tv on mute cause its boring but then ipod with speakers on timer  now thats how its done.,tv on mute cause its boring but then ipod with speakers on timer now thats how its done
0,TWO More weeks and its back to work. ,two more weeks and its back to work
0,is healthy breakfast then back to geography revision ,is healthy breakfast then back to geography revision
1,off to sleep. GOOD NIGHT WORLD  hope it'll not rain tomorrow.,off to sleep good night world hope itll not rain tomorrow
0,Kylie's being a bad girl today. ,kylies being a bad girl today
1,@LaYdeeDeliSh he's definately a strong lil guy! ,hes definately a strong lil guy
0,I watched UP! This time I cried  It's really sad and hilarious ... That movie totally rocks!,i watched up this time i cried its really sad and hilarious that movie totally rocks
1,just booked my driving test ,just booked my driving test
0,i've been working for more than 24 hours now ,ive been working for more than hours now
1,"@ddlovato I wish I was a celeb like you, Miley Cyrus, Selena Gomez, Taylor Swift, and all those pretty girls out there! ",i wish i was a celeb like you miley cyrus selena gomez taylor swift and all those pretty girls out there
0,I can't believe the last survivor of the Titanic died...that's really sad! ,i cant believe the last survivor of the titanic diedthats really sad
0,Starting to wonder if my future landlord is crazy or prejudice against americans.. this may not end well ,starting to wonder if my future landlord is crazy or prejudice against americans this may not end well
1,@kiniaq and the reasons are never wrong my dear... they are absolutely lovely  wow,and the reasons are never wrong my dear they are absolutely lovely wow
1,@lexia well done on all your reporting.  Haven't been vocal but have enjoyed and appreciated your work. Cheers lady. ,well done on all your reporting havent been vocal but have enjoyed and appreciated your work cheers lady
1,I would love the 85mm 1.2 .. but would settle for the 85mm 1.8. I'd also love a 1Dsmark3 for it to sit on ,i would love the mm but would settle for the mm id also love a dsmark for it to sit on
1,@AngelIVXXX very good price ,very good price
1,@MrRathbone You have many friends here who will walk with you through the dark and the light. Smile ,you have many friends here who will walk with you through the dark and the light smile
1,soo hungry! hot dogs with all the fixings? sounds yummy ! ,soo hungry hot dogs with all the fixings sounds yummy
0,is having a bad day - email not working properly and looks like the 10km run is off for me ,is having a bad day email not working properly and looks like the km run is off for me
1,@officialnjonas you speak my name in chat? please?I am a big fan your...follow me? ,you speak my name in chat pleasei am a big fan yourfollow me
1,"The Tonight Show w/ Conan was AWESOME!!! I missed that tall, pale, red-headed man! ",the tonight show w conan was awesome i missed that tall pale redheaded man
1,"@Hail_Mary_Jane: never date anyone who's on twitter, then you can't tweet about how whack they are.&lt;----sooooooooo true ",never date anyone whos on twitter then you cant tweet about how whack they areltsooooooooo true
1,I need someone to talk to!  Who can that be? ,i need someone to talk to who can that be
0,@BrianMcnugget still your old joker kinda self...im glad...i kinda miss it ,still your old joker kinda selfim gladi kinda miss it
1,un vot pe blogoree pls: http://bit.ly/ueUb6   Multumesc! ,un vot pe blogoree pls multumesc
0,"Dear baby, I can't wait until your teething days are over. ",dear baby i cant wait until your teething days are over
0,"@ninasplayground LOL, I didn't know it was on  OF COURSE if watch that dumb bitches show ;-) like a train wreck... Can't stop watching ;)",lol i didnt know it was on of course if watch that dumb bitches show like a train wreck cant stop watching
1,@imPLastic ,
1,"BlackBerry troubles all over.. fortunately enough I don't have one! My HTC Touch works fine, for almost 2 years! ",blackberry troubles all over fortunately enough i dont have one my htc touch works fine for almost years
1,@MeganBull how do you know how much your twitter profile is worth?? haha...or was that a joke? ,how do you know how much your twitter profile is worth hahaor was that a joke
1,http://mobypicture.com/?yxykxt - I knew it from the start. It's a two year old t-shirt by now. Always makes me pleased to see though. ,i knew it from the start its a two year old tshirt by now always makes me pleased to see though
0,I had Wendy's before this. That was a bad choice   http://twitpic.com/6vlkp,i had wendys before this that was a bad choice
1,@cjm55 Thanks!  ,thanks
0,"why do people not just try to understand instead of getting pissed off  when someone needs you, its cause they love you...",why do people not just try to understand instead of getting pissed off when someone needs you its cause they love you
0,@Castiel_ yeah. totally. ,yeah totally
1,@Lumiel Aren't you sweet? ,arent you sweet
0,CDC Vaccine Advisor Pockets $29 Million Promoting Vaccines -  http://is.gd/M7Q8 - MORE ELITIST SCUM VACCINATION PROFITEERING - Sorry ,cdc vaccine advisor pockets million promoting vaccines more elitist scum vaccination profiteering sorry
1,@MissChriis i don't know how to celebrate yet. lol but i'm very excited about it. ,i dont know how to celebrate yet lol but im very excited about it
0,@windsorj Poor thing  Hope you feel brighter soon x,poor thing hope you feel brighter soon x
0,Ah. The perfect summer day was ruined by the rain. Too good to be true.  but its still hot as hell. I feel sticky and gross. Long day. Ha,ah the perfect summer day was ruined by the rain too good to be true but its still hot as hell i feel sticky and gross long day ha
0, i gotta work today,i gotta work today
1,@nowamunkie My pleasure. ,my pleasure
1,Blood Brothers was Amazing.  Got my program signed by the cast  Got a Picture with Sean Jones. ,blood brothers was amazing got my program signed by the cast got a picture with sean jones
1,bob to the top high school musical porno. ftw ,bob to the top high school musical porno ftw
0,@DavidArchie I'm running a fever  If you gave me a shoutout I swear I'd get better! (HINTHINT!) HAHAHA.,im running a fever if you gave me a shoutout i swear id get better hinthint hahaha
1,"@edicius during this Stanley Cup match up, yes, I am a Pens fan. ",during this stanley cup match up yes i am a pens fan
1,"@besz I will tell you on Thursday all about Tuesday, I promise. How bout I skip all this, and just eat the monkey for breakfast? ",i will tell you on thursday all about tuesday i promise how bout i skip all this and just eat the monkey for breakfast
0,I thought it was meant to be a hot summer  to mean rain doesnt mean hot.,i thought it was meant to be a hot summer to mean rain doesnt mean hot
1,@Wolfie75 Welcomes home  Glad you had a fabbo time!,welcomes home glad you had a fabbo time
1,doesn't know what to do with himself today... but might get some blonde put in his hair for summer ,doesnt know what to do with himself today but might get some blonde put in his hair for summer
0,"kick  butt, Chuck has been renewed for a third season.  Sucks only 13 episodes though.    http://tr.im/lF45",kick butt chuck has been renewed for a third season sucks only episodes though
0,just wants to get it over and done with. I miss working ,just wants to get it over and done with i miss working
1,@Boy_Kill_Boy Anything for first class tix ,anything for first class tix
0,"@Jason25329 Sorry to hear that  but hey, you're eating well at least!",sorry to hear that but hey youre eating well at least
0,Phew! Done rewriting the 1st bit of my results to order. Reread comments from bosses to ensure I'd incorporated them. Had. But sad now. ,phew done rewriting the st bit of my results to order reread comments from bosses to ensure id incorporated them had but sad now
1,morning tweeple  hope you all have a great monday,morning tweeple hope you all have a great monday
1,"Home and off for hopefully, a sunny weekend ",home and off for hopefully a sunny weekend
1,"@innocent_eyez26 OMG :o ahahaa. oh well, thats common there  hihii",omg o ahahaa oh well thats common there hihii
0,packing up my room... ,packing up my room
0,CEO is on the floor today. Need to be careful while surfing today. It's all work and no play day. ,ceo is on the floor today need to be careful while surfing today its all work and no play day
0,hitting the gym!  its bout time,hitting the gym its bout time
0,"Wife just left on a motorcycle ride. I still need to get my Washington plates , so I am at home, Drat! ",wife just left on a motorcycle ride i still need to get my washington plates so i am at home drat
0,@TwilightilDawn Oh man I want palm trees and the beautiful ocean! Not cow town CO  Follow @peterfacinelli @billy_burke,oh man i want palm trees and the beautiful ocean not cow town co follow
1,#musicmonday King Blues My Bolder ,king blues my bolder
0,"I have a 1,500-word deadline in 2 days, stacks of research materials are surrounding me, and I don't have a clue how to start  Need coffee",i have a word deadline in days stacks of research materials are surrounding me and i dont have a clue how to start need coffee
1,@gfalcone601 well at least you had a great time and thats what's important! ,well at least you had a great time and thats whats important
0,"Oh and more car FAIL, after all the work i had done Fri., the Check Engine light went on just as i got home last night ",oh and more car fail after all the work i had done fri the check engine light went on just as i got home last night
0,@itwittmyclit I'm jealous. I wanna nerd out ,im jealous i wanna nerd out
1,"@PiKaHsSo Sup fam? Hope you have a GREAT weekend! Keep doing what u do, we appreciate u ",sup fam hope you have a great weekend keep doing what u do we appreciate u
1,http://twitpic.com/4eg0i - Before his hair cut. I just wanna kiss that little face all day long ,before his hair cut i just wanna kiss that little face all day long
1,@mike_rhodes r u romeo from somewhere? ,r u romeo from somewhere
0,Only problem with Google Chrome: no foxkeh ,only problem with google chrome no foxkeh
1,Figuring out how to live a life where I'm my own boss... fun ,figuring out how to live a life where im my own boss fun
1,"CAN YOU SAY AFTER 30 HOURS OF TRAVELING IM FINALLY IN ARGENTINA?! yes! oh hello Buenos Aires, how i love you ",can you say after hours of traveling im finally in argentina yes oh hello buenos aires how i love you
0,@dawnmcwilliams Saha ,saha
0,I don't feel well at all. Dizziness and vomit. No fun ,i dont feel well at all dizziness and vomit no fun
1,"I want to drink tonight,, want a cosmopolitan ",i want to drink tonight want a cosmopolitan
1,@dance2jeffreee I have already watch that video lol ,i have already watch that video lol
0,Everytime she stops talkin or replying for hours or days it is like she's leavin me all over again ,everytime she stops talkin or replying for hours or days it is like shes leavin me all over again
1,is off to work til 4! Happy Hump Day! ,is off to work til happy hump day
0,@girl_alex ....  Hope you're okay?,hope youre okay
1,"i made 29 updates today, my record xD talk to you tomorrow bye ",i made updates today my record xd talk to you tomorrow bye
0,@disco_di aww tell me about it!!! its just not the same  hope you have a better day,aww tell me about it its just not the same hope you have a better day
1,"@SomeWriter Hey, great minds think alike! ",hey great minds think alike
0,Mother's Day is a traditionally time for BBQ here ... unfortunately I don't like BBQ at all  ... but I am also not a mother ;-) ;-),mothers day is a traditionally time for bbq here unfortunately i dont like bbq at all but i am also not a mother
1,back from school w/ @_gerardo. Making a grocery run w/ @kellan_craddock before celebrating @chadachi's 22nd birthday with a barbeque. ,back from school w making a grocery run w before celebrating s nd birthday with a barbeque
1,Summat to make your laugh today http://budurl.com/beckhams ,summat to make your laugh today
0,"regretting not wearing sunscreen today, spent 6 hours walking round Kew Gardens during a mini heatwave. Healthy glow is an understatement ",regretting not wearing sunscreen today spent hours walking round kew gardens during a mini heatwave healthy glow is an understatement
0,Shot after shot. Alc is lying to me ,shot after shot alc is lying to me
1,@kirstiealley Prizes are good! ,prizes are good
1,"Everyone follow @JKitsJena because this twitter is fawked, pleeeeease and thank you ",everyone follow because this twitter is fawked pleeeeease and thank you
0,@ the booptys crib watching chucky 3 with the little one my boopty aint feeling well ,the booptys crib watching chucky with the little one my boopty aint feeling well
0,im off from one job and now im off to my next one. i wish i was rich and didnt have to worry about money. but i have to cuz of my son.   ,im off from one job and now im off to my next one i wish i was rich and didnt have to worry about money but i have to cuz of my son
0,"@BT_broadband Ah, well, we're both in the same boat then. I switched because they were throttling the speed every single night. ",ah well were both in the same boat then i switched because they were throttling the speed every single night
0,and @thedebbyryan http://www.debbyandchrisryanfansite.webs.com/ is WRONG tha page dont found  follow us -we r ur team TEAMofDEBBYRYAN,and is wrong tha page dont found follow us we r ur team teamofdebbyryan
1,@tonyrobbins &quot;paradise is where I am.&quot; he also said ,quotparadise is where i amquot he also said
0,@Guitargirl5595 yeah so now i am all bummed cause now i dont have college anymore ,yeah so now i am all bummed cause now i dont have college anymore
0,@TomboyTigress  you told me you LIKED my marshmallow fish. *runs off crying*,you told me you liked my marshmallow fish runs off crying
0,is back at the hotel. wifi doesn't reach the room  http://plurk.com/p/rnauu,is back at the hotel wifi doesnt reach the room
1,"Im a very open girl and if you remain respectful, we will have a lot of fun  See my pics here http://sa9.us/HornySophie",im a very open girl and if you remain respectful we will have a lot of fun see my pics here
1,@jaimeeashley i demand a picture of the red hair please and thankyou ,i demand a picture of the red hair please and thankyou
1,I will try to remember to Twitter from the George Strait concert ,i will try to remember to twitter from the george strait concert
1,going to take some photo and ride my whole new bike~~ ,going to take some photo and ride my whole new bike
0,good afternnon world althought the weather is bad i hate the rainny season ,good afternnon world althought the weather is bad i hate the rainny season
1,"Hai, anyone wanna hang? ",hai anyone wanna hang
0,"@victoriastevens yeah, i've started too ",yeah ive started too
1,I have got to bid ou all goodnight tweeps. Need to spend more QTwith @Mike103g the miniscule before he leaves for the week ,i have got to bid ou all goodnight tweeps need to spend more qtwith the miniscule before he leaves for the week
1,Tra la la la la!  might make a video later  see if i can be bothered ,tra la la la la might make a video later see if i can be bothered
0,@SamanthaOfUM lol that would tiiiiight but idk about money situation! ,lol that would tiiiiight but idk about money situation
0,I miss Ashley so much right now ,i miss ashley so much right now
1,i can't believe this is all part of my detox (it is) because i was so fine and now i'm talking all core wounds! oh my god! jesus help me! ,i cant believe this is all part of my detox it is because i was so fine and now im talking all core wounds oh my god jesus help me
0,is rockin' a minivan til the STi is ready. I miss it already ,is rockin a minivan til the sti is ready i miss it already
0,"Sooooo happy right now.  I &lt;3 my old high school friends.  Miss the boy already, though. ",sooooo happy right now i lt my old high school friends miss the boy already though
1,"@Young_SoulBlade hey, wassup? ",hey wassup
0,it seems that I'm going to lose the big #lgp2009's feast   I hope you enjoy it as much as I did!,it seems that im going to lose the big s feast i hope you enjoy it as much as i did
0,@Shadows1990 Oh dear  should go out when your better ,oh dear should go out when your better
0,@samantha247 Luckyyyy. I want to ding dong ditch with ya'll. Jealous. ,luckyyyy i want to ding dong ditch with yall jealous
1,@Remy_Foster LOL I'm in your favourites 3 times!!! ,lol im in your favourites times
1,"@Destini41 Have a safe trip, Desti, and have lots of fun!!! Hope you can tweet us a lot  And give @crystalchappell 4700 kisses from us",have a safe trip desti and have lots of fun hope you can tweet us a lot and give kisses from us
1,@ryanstar http://twitpic.com/6ub7v - Great view ,great view
1,mmm taco doritos=heaven in my mouth ,mmm taco doritosheaven in my mouth
0,@MandyyJirouxx morning already ,morning already
1,"MTV Movie Awards yesterday: congrats Robert, Kristen, Miley and the Twilight's makers.  &lt;3",mtv movie awards yesterday congrats robert kristen miley and the twilights makers lt
0,http://twitpic.com/8cwzd - the swimming pool of our hotel... that makes me dream of summer... in Vienna we have so far no summer ,the swimming pool of our hotel that makes me dream of summer in vienna we have so far no summer
1,"Plans for today: Lunch with my darling Leila, getting my hair cut... Ok, that's the good part ",plans for today lunch with my darling leila getting my hair cut ok thats the good part
1,@cocababy202 hahaha it washed all the sick off of me. ,hahaha it washed all the sick off of me
0,@SasaLoves I'm here princess!  Need to try to eat something before I drink. Still having waves of nausea - I should have napped ,im here princess need to try to eat something before i drink still having waves of nausea i should have napped
1,Issue of Echelon?..Are they behind some Botnets also? ..you can watch...http://tinyurl.com/c8dns8  ah..but dont think like that ,issue of echelonare they behind some botnets also you can watch ahbut dont think like that
0,"@IsadoraR hooray for your english being done , but we are screwed for everything else ",hooray for your english being done but we are screwed for everything else
0,No 12-hour coma today. I had a nightmare that shook me awake. ,no hour coma today i had a nightmare that shook me awake
1,@SenseiRAM We missed you ,we missed you
1,"@jonasbrothers dear nick jonas, please teach me how to play the glockenspiel. that is just about the coolest instrument name ever. ",dear nick jonas please teach me how to play the glockenspiel that is just about the coolest instrument name ever
0,3 hours till SD. longest trip ever. Never again. Ate a salad n pasta at dinner n couldn't even finish my pasta. ,hours till sd longest trip ever never again ate a salad n pasta at dinner n couldnt even finish my pasta
1,#goodsex get the itus ,get the itus
0,Watching ''The Cleaner'' &amp; taking care of wifey. She's sick. ,watching the cleaner amp taking care of wifey shes sick
1,Drinking coffee ,drinking coffee
0,Good morning everyone in this twitter world! Bangun jam segini mulu  http://myloc.me/23fl,good morning everyone in this twitter world bangun jam segini mulu
1,"Atlantis &amp; Hubble current location now is above Indonesia. Wave your hand guys, wave!  #fb",atlantis amp hubble current location now is above indonesia wave your hand guys wave
0,Another loser: i lost the game  http://tinyurl.com/cfz2lj,another loser i lost the game
0,stuck at home in Temecula for the night  someone come save me pleaseeeeee!,stuck at home in temecula for the night someone come save me pleaseeeeee
1,@rhyanoutrageous thank you ,thank you
1,@MeiNg I'll settle for The Last Lecture by Randy Pausch instead. He is inspirational. ,ill settle for the last lecture by randy pausch instead he is inspirational
0,going to bed.  i wish the hubby had more time off ,going to bed i wish the hubby had more time off
0,David started basic Wednesday and they took his phone for who knows how long... missing his voice and his kisses ,david started basic wednesday and they took his phone for who knows how long missing his voice and his kisses
0,@Curiosafmmb  Dave yeah I prefer David actually!!. Yes he was Bill from Kill Bill. From what Ive hearded he had hung himslef ... ,dave yeah i prefer david actually yes he was bill from kill bill from what ive hearded he had hung himslef
0,@d33pak ya...but m missing my &quot;beeryani&quot; on the weekends ,yabut m missing my quotbeeryaniquot on the weekends
0,so bored !  i want the Sims to hurry up and download,so bored i want the sims to hurry up and download
0,@persef I would gladly have him back in exchange for my sandwich though ,i would gladly have him back in exchange for my sandwich though
1,"@Boyislost Ok im gona go  but I dont want to be close with anyone atm, sry if it takes a min to reply im at work so i have to hide twitter",ok im gona go but i dont want to be close with anyone atm sry if it takes a min to reply im at work so i have to hide twitter
0,@aeroform Naptime for me. Can't keep my eyes open. ,naptime for me cant keep my eyes open
1,"fed up with Windows, so Ubuntu Netbook Remix Edition is now on Kaylee ",fed up with windows so ubuntu netbook remix edition is now on kaylee
0,I will never like getting up at 5 am  dumb work schedule.,i will never like getting up at am dumb work schedule
0,@DVDeMm Want my Amazon box to arrive.  Probably Royal Mail playing football with it!,want my amazon box to arrive probably royal mail playing football with it
0,"@dougiedaydream well yes but with a trilby, red wayfarers and a vintage casio watch in tow. i thought i looked good. ",well yes but with a trilby red wayfarers and a vintage casio watch in tow i thought i looked good
1,@KellyOlexa it is like boxers under pants....It is to be FREE or not to BE FREE!!!! ,it is like boxers under pantsit is to be free or not to be free
0,@GoCheeksGo i tried to vote but my phone sucks and wouldn't let me ,i tried to vote but my phone sucks and wouldnt let me
0,@mileycyrus voting has closed ,voting has closed
1,@SashaKane - That's a great mood to be in. Do you mind if I borrow it for this week?! ,thats a great mood to be in do you mind if i borrow it for this week
0,@TheRealAD aw poor baby ,aw poor baby
0,Photo: suneoke: saddens me that sheâs taken  *tear* lol http://tumblr.com/xgo1z1owl,photo suneoke saddens me that sheâs taken tear lol
1,Then - Brad Paisley ,then brad paisley
0,giving up on having a job this summer. Managers continue to fail to call me. Looks like its going to be a long broke year. ,giving up on having a job this summer managers continue to fail to call me looks like its going to be a long broke year
0,Rumours OS 3 being released when Apple employees get into work (9am). Therefore 5pm uk time ,rumours os being released when apple employees get into work am therefore pm uk time
0,uni. home work ,uni home work
0,enjoying my week off...now comes the busy part... ,enjoying my week offnow comes the busy part
1,"@BecM49 i am, thanks (: i'll put you in mine ",i am thanks ill put you in mine
1,"Checking in  Good morning twitter fam! I'm in Miami, up bright and early, ready to hit the gym! xo",checking in good morning twitter fam im in miami up bright and early ready to hit the gym xo
1,@NickHexum Please play Daisy Cutter+Jackpot+the rest of Uplifter in Atlanta. That'd be a pretty good 4th of July. ,please play daisy cutterjackpotthe rest of uplifter in atlanta thatd be a pretty good th of july
0,"Bank card fraud victim  $1,600 spent in 24hs. $400 at Celebrities, $400 at Richards on Richards and $800 at Safeway.",bank card fraud victim spent in hs at celebrities at richards on richards and at safeway
1,has to go. bye  http://plurk.com/p/z2e6x,has to go bye
1,taking a bath..and then go to the chruch!! ,taking a bathand then go to the chruch
0,"not good, not good. ",not good not good
1,"@mr_billiam did you get your yabbies and your yobbos mixed up, or something?  ",did you get your yabbies and your yobbos mixed up or something
1,@peanut2468 basically i was going 2 go 2 ur casa as soon as i got my license but u wernt home so... ,basically i was going go ur casa as soon as i got my license but u wernt home so
0,cold and flu tablets = EPIC FAIL. they dont even work ,cold and flu tablets epic fail they dont even work
0,@TheWayIRoll I don't know where is she... but I miss her  ahah goodnight honey! n.n,i dont know where is she but i miss her ahah goodnight honey nn
0,tired  and beleives early mornings should be illegal!,tired and beleives early mornings should be illegal
1,"@dontforgetchaos aaah, sorry, you know i love you really!! hee hee  ;)",aaah sorry you know i love you really hee hee
1,@FredroC1469 most of the time ,most of the time
0,"Oven has been on since 3:15... that's almost 3 hours!  3 loaves (1 cinnamon bread) &amp; 2.5 batches of rolls are baked. scones, not made yet ",oven has been on since thats almost hours loaves cinnamon bread amp batches of rolls are baked scones not made yet
0,"@Em_Love yes, and FOH played at my friends school  how unfair?",yes and foh played at my friends school how unfair
0,man... I'll miss the JRuby on Google App Engine talk at #railsconf ,man ill miss the jruby on google app engine talk at
0,friday night and no 1 to go party wit im a loner in my own country ,friday night and no to go party wit im a loner in my own country
1,"@Stella_Holman no, orkut? ",no orkut
0,"oh no, i need new work shoes...i broke this one! ",oh no i need new work shoesi broke this one
0,@paulpuddifoot your pic/avatar is gone ,your picavatar is gone
0,"Ahh, I'm stuck... For my birthday I can either get a new phone (SMSNG Omnia) or I can get a Sky box in my room... HELP! Idk what to doooo ",ahh im stuck for my birthday i can either get a new phone smsng omnia or i can get a sky box in my room help idk what to doooo
1,@jmaxxz sssshhhhh....I run both at work ,sssshhhhhi run both at work
0,Praying! I live like an hour away from where it happened. ,praying i live like an hour away from where it happened
0,at work  then back to my baby's house ,at work then back to my babys house
1,going to 3 Horseshoes in Radnage for lunch with friends. Should be good! ,going to horseshoes in radnage for lunch with friends should be good
0,don't want to do my maths exam tomozz  iv left school for good  why make us come back and do them ,dont want to do my maths exam tomozz iv left school for good why make us come back and do them
1,@KatiaDominos lmao yeah it is xD &amp; omg i put joe dancing to single ladies on my ipod!!! ,lmao yeah it is xd amp omg i put joe dancing to single ladies on my ipod
0,"F to the Y to the I: I'm now home, but my stupid phone is still @ the office, so don't bother calling or texting me tonight. ",f to the y to the i im now home but my stupid phone is still the office so dont bother calling or texting me tonight
0,@HURM the way i have been feeling the last few days and nights... i think i have conficker... it tried playing opossum... it didnt work ,the way i have been feeling the last few days and nights i think i have conficker it tried playing opossum it didnt work
0,I am ill  And that when it's such good weather! Oh my english is so bad ,i am ill and that when its such good weather oh my english is so bad
0,out of smokes and broke as a mothafuckerrr ,out of smokes and broke as a mothafuckerrr
0,Sad that @mimigee will no longer be a fixture when i go visit NYC   Good luck at school!,sad that will no longer be a fixture when i go visit nyc good luck at school
1,About to Hang out with Sadey ,about to hang out with sadey
0,wtf happened 2 the sun?? its all alex's fault (quote &quot;Wot wud u do if it started pissin it down?&quot;) rain sucks ,wtf happened the sun its all alexs fault quote quotwot wud u do if it started pissin it downquot rain sucks
1,"at home, restingg ",at home restingg
0,U still waiting for still update! I've been sitting like a mad man all day! ,u still waiting for still update ive been sitting like a mad man all day
0,We can has OS 3 update?.......no we hasn't.   (shakes head and mopes away),we can has os updateno we hasnt shakes head and mopes away
0,need rest but need Michelle ,need rest but need michelle
0,@tpphotography bonkers isn't it? Pocket calculator + photocell somehow = Â£Â£Â£Â£'s I've been looking for a reasonably priced one but no joy ,bonkers isnt it pocket calculator photocell somehow ââââs ive been looking for a reasonably priced one but no joy
0,@PollyPocket3 do you hate us ? ,do you hate us
0,my car is dead........ what am i to do  Poor bug,my car is dead what am i to do poor bug
1,"Sorry, that last was for @popculturezoo Doctor who geek speak ",sorry that last was for doctor who geek speak
1,@backstreetboys Happy b-day Backstreeets!!!!Hope you go for many many moree!!Thank you for ur amazing music ,happy bday backstreeetshope you go for many many moreethank you for ur amazing music
0,@whataboutadam My sis didnt get hers either ,my sis didnt get hers either
0,Morning to all! Hope its a nicer day where you are compaired to here. It's going to rain all day and the next 2 days. ,morning to all hope its a nicer day where you are compaired to here its going to rain all day and the next days
1,"@dannygokey Awww, Danny. Sorry I'm late!  Who wouldn't accept the offer to teach you uploading?",a danny sorry im late who wouldnt accept the offer to teach you uploading
1,@RoseZag She's writing a book! It's good so far ,shes writing a book its good so far
1,@mark_hadfield That's the other solution.  But it then stops genuine people from following you spontaneously based on your tweets.,thats the other solution but it then stops genuine people from following you spontaneously based on your tweets
1,@siamusic the land of replies is indeed a labourius place  at least you know you're loved!  xo,the land of replies is indeed a labourius place at least you know youre loved xo
0,Wondering if I should take K to the release of Transformers 2 tomorrow. I hate crowds ,wondering if i should take k to the release of transformers tomorrow i hate crowds
0,"Only problem was lack of sauce The sauce is awesome, but not enough ",only problem was lack of sauce the sauce is awesome but not enough
0,"@divestoclimb It lets me through, but then gives a &quot;Sorry, no exact matches were found, but other tickets may still be available.&quot; error ",it lets me through but then gives a quotsorry no exact matches were found but other tickets may still be availablequot error
1,@Lifehigh83 I requested you. ,i requested you
1,Having a well-deserved Guinness ,having a welldeserved guinness
0,I can NOT believe my baby girl is 3!! I know I'm  lame b/c I'm actually sad about this!!I don't want her to grow up boo hoo ,i can not believe my baby girl is i know im lame bc im actually sad about thisi dont want her to grow up boo hoo
0,"@giloi2009 Yeah I got excited by seeing that changelog, then was bitterly disappointed there's no push notifications for Facebook ",yeah i got excited by seeing that changelog then was bitterly disappointed theres no push notifications for facebook
